Date,Time,DischargeTemperature,CoolingDamperCommand,CooingDamperPosition,CoolingAirVolume,CoolingSetpoint,ControlTemperature,ScheduleMode,OccupancyMode,HeatCoolMode,HeatingDamperCommand,HeatingDamperPosition,HeatingAirVolume,RMSTPTDIAL,RoomTemperature,STPTDIAL,AirflowSetpoint
11/19/2021,0:00,52.5,34.4,34.4,408,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,408
11/19/2021,0:05,52.5,33.6,33.6,412,65,67.5,1,1,COOL,0,0,0,63,67.5,YES,412
11/19/2021,0:10,52.5,33.2,32.8,408,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,408
11/19/2021,0:15,53,33.2,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:20,52.5,33.2,33.6,416,65,67.5,1,1,COOL,0,0,0,63,67.5,YES,416
11/19/2021,0:25,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:30,53,34,34.4,416,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,416
11/19/2021,0:35,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:40,52.5,33.2,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:45,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:50,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,0:55,52.5,33.2,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,1:00,52.5,34,34.4,416,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,416
11/19/2021,1:05,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
11/19/2021,1:10,52.5,34.8,34.4,408,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,408
11/19/2021,1:15,52.5,33.6,33.6,412,65,67.25,1,1,COOL,0,0,0,63,67.25,YES,412
